Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Audi,e-tron 55 quattro,Audi e-tron 55 quattro,345700,360,664,disc (front + rear),4WD,95,438,292.8,490.1,193.5,162.9,2565,3130,640,5,5,19,200,660,5.7,150,24.45
Audi,e-tron 50 quattro,Audi e-tron 50 quattro,308400,313,540,disc (front + rear),4WD,71,340,292.8,490.1,193.5,162.9,2445,3040,670,5,5,19,190,660,6.8,150,23.8
Audi,e-tron s quattro,Audi e-tron s quattro,414900,503,973,disc (front + rear),4WD,95,364,292.8,490.2,197.6,162.9,2695,3130,565,5,5,20,210,660,4.5,150,27.55
Audi,e-tron sportback 50 quattro,Audi e-tron sportback 50 quattro,319700,313,540,disc (front + rear),4WD,71,346,292.8,490.1,193.5,161.6,2445,3040,640,5,5,19,190,615,6.8,150,23.3
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,357000,360,664,disc (front + rear),,95,447,292.8,490.1,193.5,161.6,2595,3130,670,5,5,19,200,615,5.7,150,23.85
Audi,e-tron sportback s quattro,Audi e-tron sportback s quattro,426200,503,973,disc (front + rear),,95,369,292.8,490.2,197.6,161.5,2695,3130,565,5,5,20,210,615,4.5,150,27.2
Audi,q4 e-tron,Audi q4 e-tron,,300,310,disc (front + rear),4WD,,400,,,,,,,,5,,,,,6.3,540,
Audi,e-tron gt,Audi e-tron gt,,503,630,disc (front + rear),4WD,,425,,,,,,,,4,,,240,,3.5,850,
Audi,e-tron 50 quattro,Audi e-tron 50 quattro,,313,540,disc (front + rear),4WD,71,280,,,,,,,,5,,,190,,6.8,450,
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,,360,664,disc (front + rear),4WD,,380,,,,,,,,5,,,200,,5.7,610,
Audi,e-tron 55 quattro,Audi e-tron 55 quattro,,360,664,,4WD,95,438,,,,,,,,5,,,200,,5.7,590,
Audi,q4 e-tron,Audi q4 e-tron,,305,310,disc (front + rear),4WD,,410,,,,,,,,5,,,180,,6.3,550,
Audi,e-tron sportback 50 quattro,Audi e-tron sportback 50 quattro,,313,540,disc (front + rear),4WD,,295,,,,,,,,5,,,190,,6.8,470,
Audi,e-tron s quattro,Audi e-tron s quattro,,325,973,disc (front + rear),4WD,,320,,,,,,,,5,,,210,,4.5,510,
Audi,e-tron sportback 55 quattro,Audi e-tron sportback 55 quattro,,305,973,disc (front + rear),4WD,,335,,,,,,,,5,,,210,,4.5,540,
Bmw,i3,Bmw i3,169700,170,250,disc (front + rear),2WD,42.2,359,257,400.6,179.1,157,1440,1730,440,4,5,19,160,260,8.1,50,13.1
